,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
0,Hotel,47.6122,-122.33799,1920_1940,1.0,12,60.0,88434,0,88434.0,1,1,1,249.98,7226362.5
1,Hotel,47.61317,-122.33393,1980_2000,1.0,11,61.0,88502,15064,83880.0,0,1,1,295.86,8387933.0
2,Hotel,47.61393,-122.3381,1960_1980,1.0,41,43.0,759392,196718,756493.0,1,1,1,2089.28,72587024.0
3,Hotel,47.61412,-122.33664,1920_1940,1.0,10,56.0,61320,0,61320.0,1,1,1,286.43,6794584.0
4,Hotel,47.61375,-122.34047,1960_1980,1.0,18,75.0,113580,62000,123445.0,0,1,1,505.01,14172606.0
5,Hotel,47.6139,-122.33283,1920_1940,1.0,11,27.0,83008,0,81352.0,0,1,1,176.14,5758795.0
6,Other,47.61327,-122.33136,1920_1940,1.0,8,,102761,0,102761.0,1,1,1,221.51,6298131.5
7,Hotel,47.60294,-122.33263,_1920,1.0,15,43.0,163984,0,163984.0,0,1,1,392.16,13723820.0
8,Hotel,47.60695,-122.33414,1960_1980,1.0,11,30.0,133884,19279,133884.0,1,1,1,691.26,16016644.0
9,Hotel,47.60713,-122.33323,1980_2000,1.0,25,36.0,272015,61161,336640.0,1,1,1,740.97,26941110.0
10,Hotel,47.60699,-122.33346,1920_1940,1.0,9,48.0,65009,0,65009.0,1,1,1,328.23,6596057.5
11,Hotel,47.60809,-122.33212,1960_1980,1.0,33,58.0,258352,57600,295511.0,1,1,1,648.62,22325364.0
12,Hotel,47.60755,-122.33244,1920_1940,1.0,11,35.0,66990,25200,67390.0,1,1,1,511.39,10750010.0
13,Other,47.60546,-122.33279,1920_1940,1.0,6,,103911,0,90000.0,1,1,1,433.86,9956396.0
14,Hotel,47.60681,-122.33078,1980_2000,1.0,28,31.0,331281,85000,348329.0,0,1,1,802.89,33556756.0
15,Mixed Use Property,47.60515,-122.33159,_1920,1.0,5,,57452,0,16442.0,1,1,1,273.02,7606084.5
16,Hotel,47.60376,-122.33194,_1920,1.0,10,39.0,104352,0,104352.0,1,1,1,349.32,10154608.0
17,Other,47.60265,-122.33051,_1920,1.0,10,76.0,540360,0,537150.0,0,1,1,1265.29,44984468.0
18,Other,47.60378,-122.32842,1980_2000,1.0,19,,385274,0,385274.0,0,1,1,1699.45,47859812.0
19,Hotel,47.65959,-122.31755,2000_,1.0,6,84.0,58006,30586,58006.0,0,1,1,90.01,3663534.5
20,University,47.61816,-122.33629,1920_1940,1.0,7,,126593,0,125000.0,0,1,1,388.04,11343686.0
21,Other,47.615,-122.33081,1920_1940,1.0,2,,67224,0,67224.0,0,1,0,9.13,1310236.625
22,Hotel,47.61301,-122.32929,1980_2000,1.0,8,,128375,30301,112676.0,0,1,1,256.57,5328051.5
23,Hotel,47.61784,-122.32966,2000_,1.0,10,57.0,133585,38281,128909.0,0,1,1,328.63,11061916.0
24,Hotel,47.61558,-122.34186,1960_1980,1.0,5,57.0,52210,16200,47994.0,0,1,1,128.44,4456714.5
25,Small- and Mid-Sized Office,47.6641,-122.33118,_1920,1.0,3,,87262,0,40943.0,0,1,1,157.77,4145920.5
26,Hotel,47.66583,-122.29965,1980_2000,1.0,4,29.0,81871,0,81871.0,0,1,1,215.0,6668568.5
27,Self-Storage Facility,47.66172,-122.29598,1940_1960,1.0,2,,110356,0,26225.0,0,1,1,3.93,318364.8125
29,Warehouse,47.51138,-122.28875,1960_1980,3.0,2,,714095,0,616000.0,0,1,0,311.84,44731160.0
30,K-12 School,47.65671,-122.39047,1980_2000,1.0,2,97.0,54986,0,54986.0,0,1,1,31.47,1650279.25
31,Small- and Mid-Sized Office,47.66587,-122.38476,1960_1980,1.0,2,57.0,94900,0,55586.0,0,1,1,130.56,6186461.5
32,Small- and Mid-Sized Office,47.58034,-122.31132,_1920,1.0,2,83.0,52554,0,51029.0,0,1,1,83.86,2951331.25
